Name,Price,QTY Needed,Link
"Ceramic Capacitor, 0.1uF",USD 0.26/PC,3,https://www.digikey.com/en/products/detail/vishay-beyschlag-draloric-bc-components/A104M15X7RF5TAA/8557379?gQT=1
"Ceramic Capacitor, 10uF",USD 5.60/10PC,1,https://www.amazon.com/Aexit-Multilayer-Monolithic-Capacitor-5456c966187e7c71b2b5cbe40b731e4a/dp/B0838L95ZQ?gQT=1
"Ceramic Capacitor, 1uF",USD 2.59/5PC,1,https://protosupplies.com/product/capacitor-ceramic-multilayer-1uf-50v/?gQT=1
"Ceramic Capcitor, 22pF",USD 0.30/PC,2,https://www.sparkfun.com/capacitor-ceramic-22pf.html?gQT=1
"Diode, Generic Brand",USD 0.12/PC,4,https://www.digikey.com/en/products/detail/micro-commercial-co/1N4148W-TP/717311
"Polyfuse, 500mA hold, 1A trip",USD 0.25/PC,1,https://www.digikey.com/en/products/detail/bel-fuse-inc/0ZCJ0050AF2E/4156312
"Resistor, 10K",USD 0.20/PC,2,https://www.americanloopers.com/products/resistor-10k-ohm?variant=41187979788393&country=US&currency=USD&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gQT=1
"Resistor, 22Ohm",USD 0.10/PC,2,https://www.digikey.com/en/products/detail/yageo/MF0207FRE52-22R/13921856?gQT=1
ATMEGA32U4-AU,USD 5.29/PC,1,https://www.microchipdirect.com/product/ATMEGA32U4-AU
Molex USB C Connector,USD 2.89/PC,1,https://www.digikey.com/en/products/detail/molex/2047110001/10440494?gQT=1
"Crystal, 16MHz",USD 0.55/PC,1,https://www.digikey.com/en/products/detail/CX3225SB16000D0GZJC1/1253-1698-1-ND/5995245?itemSeq=264931473
